연번,인허가관할기관,업소명,업종,업태,업소주소,영업상태
30933,인천광역시 서구,자연밥상,일반음식점,한식,"인천광역시 서구 파랑로 495(2-108호, 2-109호 청라동)",정상
30934,인천광역시 서구,자연밥상,일반음식점,한식,"인천광역시 서구 북항로32번길 66(101호,102호 원창동)",정상
30935,인천광역시 서구,자연밥상,일반음식점,한식,"인천광역시 서구 보도진로 40(가좌동, 173-385)",정상
30936,인천광역시 서구,자연밥상맛집,일반음식점,한식,인천광역시 서구 건지로97번길 6(1층 일부호 석남동),정상
30937,인천광역시 서구,자연쌈밥앤미역국,일반음식점,한식,"인천광역시 서구 대평로7번길 4(심곡동, 21세기골프연습장 C동 1층일부)",정상
30938,인천광역시 서구,자연애맛,일반음식점,기타,인천광역시 서구 신진말로 37-1(가좌동),정상
30939,인천광역시 서구,자영식당,일반음식점,중국식,"인천광역시 서구 서곶로 281-1(심곡동, 248-3)",정상
30940,인천광역시 서구,자영이네감자탕,일반음식점,한식,인천광역시 서구 청라라임로122번길 3-8(연희동),정상
30941,인천광역시 서구,자이언트당구카페,일반음식점,기타,"인천광역시 서구 중봉대로 594(청라비전프라자 801,802,803호 연희동)",정상
30942,인천광역시 서구,자이언트스시,일반음식점,일식,인천광역시 서구 단봉로 97(오성프라자 1층 107호 왕길동),정상
30943,인천광역시 서구,자인,일반음식점,한식,인천광역시 서구 완정로178번길 40(보성상가 마전동),정상
30944,인천광역시 서구,자전거를 탄 풍경,일반음식점,호프/통닭,인천광역시 서구 검단로487번길 28-2(1층 마전동),정상
30945,인천광역시 서구,작은가게비스트로,일반음식점,경양식,인천광역시 서구 간촌로39번길 9(연희동),정상
30946,인천광역시 서구,작은공간,일반음식점,호프/통닭,인천광역시 서구 길주로 101(석남동),정상
30947,인천광역시 서구,작은정원가좌점쭈사랑,일반음식점,한식,인천광역시 서구 건지로 363(1층 가좌동),정상
