연번,인허가관할기관,업소명,업종,업태,업소주소,영업상태
1,인천광역시 강화군,(유한)애플이엔씨 인천강화,일반음식점,한식,인천광역시 강화군 선원면 창리 418 외 1필지,정상
2,인천광역시 강화군,(주)보광호,일반음식점,회집,인천광역시 강화군 길상면 해안남로619번길 21(1동 1층),정상
3,인천광역시 강화군,(주)섬고기,일반음식점,경양식,인천광역시 강화군 길상면 삼랑성길 4(1층),정상
4,인천광역시 강화군,(주)장어마을,일반음식점,한식,인천광역시 강화군 길상면 해안남로 298,정상
5,인천광역시 강화군,(주)충남서산집,일반음식점,한식,인천광역시 강화군 내가면 중앙로 1198(1층),정상
6,인천광역시 강화군,109 house,일반음식점,,인천광역시 강화군 양도면 해안서로 540,정상
7,인천광역시 강화군,10월에집,일반음식점,한식,인천광역시 강화군 길상면 마니산로 193(1층),정상
8,인천광역시 강화군,1박2일 족발,일반음식점,중국식,인천광역시 강화군 강화읍 북문길 12,정상
9,인천광역시 강화군,2번창고,일반음식점,기타,인천광역시 강화군 불은면 강화동로 680,정상
10,인천광역시 강화군,40시간,일반음식점,분식,인천광역시 강화군 양도면 중앙로 1009,정상
11,인천광역시 강화군,50년전통강화국수,일반음식점,분식,인천광역시 강화군 강화읍 동문안길 12-1(1층),정상
12,인천광역시 강화군,510포차,일반음식점,한식,인천광역시 강화군 길상면 온수길36번길 1,정상
13,인천광역시 강화군,59쌀피자,일반음식점,,인천광역시 강화군 강화읍 강화대로 439,정상
14,인천광역시 강화군,59쌀피자,일반음식점,,인천광역시 강화군 내가면 해안서로 902,정상
15,인천광역시 강화군,7080,일반음식점,경양식,인천광역시 강화군 강화읍 강화대로430번길 4,정상
16,인천광역시 강화군,911닭칼국수,일반음식점,한식,인천광역시 강화군 양도면 강화남로 911,정상
17,인천광역시 강화군,95경수호,일반음식점,회집,인천광역시 강화군 화도면 해안남로2903번길 56(가동 2호 외 1 필지),정상
18,인천광역시 강화군,969,일반음식점,기타,인천광역시 강화군 교동면 대룡안길54번길 59-1,정상
19,인천광역시 강화군,Blues Burgers,일반음식점,분식,인천광역시 강화군 강화읍 강화대로312번길 21(1층),정상
20,인천광역시 강화군,CAFE ILLUM(카페 일룸),일반음식점,기타,인천광역시 강화군 불은면 중앙로 730-2(1층),정상
21,인천광역시 강화군,CAFE SPOONBILL 까페 스푼빌,일반음식점,기타,인천광역시 강화군 길상면 해안남로 627(2층),정상
22,인천광역시 강화군,Cafe Millo,일반음식점,,인천광역시 강화군 강화읍 중앙로 9,정상
23,인천광역시 강화군,Cafe 기억나,일반음식점,기타,인천광역시 강화군 선원면 선원사지로191번길 19(1층),정상
24,인천광역시 강화군,DOSE CAFE(도우제카페),일반음식점,기타,인천광역시 강화군 화도면 해안남로 2559-16(지하1층),정상
25,인천광역시 강화군,IL MARE(일마레),일반음식점,한식,인천광역시 강화군 화도면 해안남로 1474(1층),정상
26,인천광역시 강화군,J(제이),일반음식점,기타,인천광역시 강화군 화도면 해안남로 1504(3층),정상
27,인천광역시 강화군,KINGKONG SHRIMP(킹콩새우),일반음식점,기타,인천광역시 강화군 강화읍 강화대로 430(B동 2층 라-7호 강화중앙시장),정상
28,인천광역시 강화군,Lee 끌림,일반음식점,기타,인천광역시 강화군 화도면 해안남로 1203-16,정상
29,인천광역시 강화군,M.C,일반음식점,기타,인천광역시 강화군 송해면 하도리 308,정상
30,인천광역시 강화군,M.K SUSHI(엠케이스시),일반음식점,일식,인천광역시 강화군 강화읍 강화대로 430(B동 2층 라-5호 강화중앙시장),정상
31,인천광역시 강화군,MARU cafe(마루카페),일반음식점,기타,인천광역시 강화군 선원면 중앙로 338-4,정상
32,인천광역시 강화군,MYD(엠와이디),일반음식점,라이브카페,인천광역시 강화군 길상면 보리고개로 157(1층),정상
33,인천광역시 강화군,Mare(마레)616,일반음식점,경양식,인천광역시 강화군 길상면 해안동로 96-29,정상
34,인천광역시 강화군,Mr.지항,일반음식점,한식,인천광역시 강화군 길상면 해안남로65번길 35-38(1층),정상
35,인천광역시 강화군,Mud flat,일반음식점,패밀리레스토랑,인천광역시 강화군 길상면 해안남로 702,정상
36,인천광역시 강화군,ON(온)수리카페,일반음식점,기타,인천광역시 강화군 길상면 온수길 17(1층),정상
37,인천광역시 강화군,PATIO(파티오),일반음식점,기타,인천광역시 강화군 교동면 대룡안길 31-1,정상
38,인천광역시 강화군,PM18,일반음식점,일식,인천광역시 강화군 강화읍 강화대로404번길 7(203호 그랑프리),정상
39,인천광역시 강화군,PaN(팬)차이나,일반음식점,한식,인천광역시 강화군 하점면 강화대로 1098,정상
40,인천광역시 강화군,Port of Mocha(포트오브모카),일반음식점,경양식,인천광역시 강화군 삼산면 삼산남로 952(1층),정상
41,인천광역시 강화군,Royee(로이),일반음식점,한식,인천광역시 강화군 하점면 강화대로 1091(1층),정상
42,인천광역시 강화군,SLOW5CEAN,일반음식점,경양식,인천광역시 강화군 길상면 해안남로 597,정상
43,인천광역시 강화군,SOLMOE,일반음식점,패밀리레스토랑,인천광역시 강화군 길상면 해안동로 126-6,정상
44,인천광역시 강화군,The꼬치다(강화점),일반음식점,한식,인천광역시 강화군 강화읍 강화대로 362,정상
45,인천광역시 강화군,The끌림,일반음식점,기타,인천광역시 강화군 강화읍 강화대로 304(1층),정상
46,인천광역시 강화군,bhc 강화점,일반음식점,경양식,인천광역시 강화군 강화읍 강화대로404번길 5,정상
47,인천광역시 강화군,cafe 88,일반음식점,기타,인천광역시 강화군 강화읍 갑룡길 29(103호),정상
48,인천광역시 강화군,cafe HANE,일반음식점,기타,인천광역시 강화군 양사면 서사길 183-1,정상
49,인천광역시 강화군,oh! 새우,일반음식점,한식,인천광역시 강화군 내가면 해안서로 878(1층),정상
50,인천광역시 강화군,talkraphy,일반음식점,경양식,"인천광역시 강화군 화도면 해안남로1691번길 43-12(1,2동)",정상
51,인천광역시 강화군,土心토심,일반음식점,한식,"인천광역시 강화군 길상면 온수길52번길 6(가동 101,102호 수현 프라자1)",정상
52,인천광역시 강화군,가나안오리,일반음식점,한식,인천광역시 강화군 길상면 전등사로 74-16(1층),정상
53,인천광역시 강화군,가마솥,일반음식점,한식,인천광역시 강화군 선원면 중앙로 154,정상
54,인천광역시 강화군,가마솥 토종닭,일반음식점,한식,인천광역시 강화군 강화읍 강화대로312번길 14,정상
55,인천광역시 강화군,가비다,일반음식점,경양식,인천광역시 강화군 삼산면 삼산남로828번길 5,정상
56,인천광역시 강화군,가장 맛있는 족발,일반음식점,한식,인천광역시 강화군 길상면 길상로 335,정상
57,인천광역시 강화군,가정식백반,일반음식점,한식,인천광역시 강화군 강화읍 중앙로 43(111호),정상
58,인천광역시 강화군,가정식백반,일반음식점,한식,인천광역시 강화군 강화읍 강화대로 450,정상
59,인천광역시 강화군,가즈아감자탕,일반음식점,한식,인천광역시 강화군 강화읍 남문로 45(1층),정상
60,인천광역시 강화군,갈치왕코다리,일반음식점,한식,인천광역시 강화군 길상면 전등사로 85(2층),정상
61,인천광역시 강화군,감나무골,일반음식점,한식,인천광역시 강화군 삼산면 삼산남로 844-9(감나무골),정상
62,인천광역시 강화군,감동국수,일반음식점,분식,인천광역시 강화군 강화읍 중앙로 27(1층),정상
63,인천광역시 강화군,감동김밥,일반음식점,김밥(도시락),인천광역시 강화군 강화읍 강화대로 439-1,정상
64,인천광역시 강화군,감성,일반음식점,기타,인천광역시 강화군 길상면 초지로 562-26(1층),정상
65,인천광역시 강화군,강나루 풍천장어,일반음식점,한식,인천광역시 강화군 길상면 해안남로 92-6,정상
66,인천광역시 강화군,강남족발,일반음식점,한식,인천광역시 강화군 길상면 마니산로 65(4호),정상
67,인천광역시 강화군,강남풍천장어,일반음식점,일식,인천광역시 강화군 길상면 해안남로65번길 36-13(1층),정상
68,인천광역시 강화군,강바우순대국,일반음식점,한식,인천광역시 강화군 화도면 마니산로 646(1동 1층),정상
69,인천광역시 강화군,강사내통닭,일반음식점,호프/통닭,인천광역시 강화군 강화읍 강화대로409번길 4-2(1층),정상
70,인천광역시 강화군,강서식당,일반음식점,한식,인천광역시 강화군 강화읍 동문안길21번길 17-3,정상
71,인천광역시 강화군,강서식당,일반음식점,한식,인천광역시 강화군 하점면 신봉리 산 25,정상
72,인천광역시 강화군,강인음식점,일반음식점,한식,인천광역시 강화군 화도면 마니산로 714,정상
73,인천광역시 강화군,강화 닭과칼국수,일반음식점,한식,인천광역시 강화군 선원면 강화동로 814,정상
74,인천광역시 강화군,강화 모또모 바베큐 하우스,일반음식점,기타,인천광역시 강화군 양사면 전망대로1400번길 37-5,정상
75,인천광역시 강화군,강화 신토오리,일반음식점,한식,인천광역시 강화군 불은면 중앙로 540(1층),정상
76,인천광역시 강화군,강화 홀리데이,일반음식점,한식,인천광역시 강화군 화도면 해안남로 2884(1층),정상
77,인천광역시 강화군,강화갯벌장어:새우,일반음식점,한식,인천광역시 강화군 삼산면 삼산북로806번길 129,정상
78,인천광역시 강화군,강화갯벌장어직판장,일반음식점,한식,인천광역시 강화군 내가면 중앙로 1278(1층),정상
79,인천광역시 강화군,강화고기국수,일반음식점,한식,인천광역시 강화군 양도면 강화남로 613,정상
80,인천광역시 강화군,강화골,일반음식점,식육(숯불구이),인천광역시 강화군 선원면 중앙로 260,정상
81,인천광역시 강화군,강화국밥,일반음식점,한식,인천광역시 강화군 강화읍 남문로 49,정상
82,인천광역시 강화군,강화길,일반음식점,한식,인천광역시 강화군 내가면 해안서로 949(1층),정상
83,인천광역시 강화군,강화김밥집,일반음식점,한식,인천광역시 강화군 강화읍 강화대로 392-5,정상
84,인천광역시 강화군,강화꽃게사랑식당,일반음식점,한식,인천광역시 강화군 삼산면 삼산남로 865-23(1층),정상
85,인천광역시 강화군,강화꽃게전문,일반음식점,일식,인천광역시 강화군 내가면 해안서로 945(강화꽃게구이),정상
86,인천광역시 강화군,강화꽃게집,일반음식점,한식,인천광역시 강화군 내가면 중앙로 1222,정상
87,인천광역시 강화군,강화녹두삼계탕,일반음식점,탕류(보신용),인천광역시 강화군 강화읍 신문길 64-1(1층),정상
88,인천광역시 강화군,강화닭강정,일반음식점,호프/통닭,인천광역시 강화군 강화읍 북문길 6(1동 1층 3호),정상
89,인천광역시 강화군,강화댁,일반음식점,한식,인천광역시 강화군 화도면 마니산로 490(외 1필지1366-6),정상
90,인천광역시 강화군,강화도 마리마리,일반음식점,기타,인천광역시 강화군 화도면 마니산로 509,정상
91,인천광역시 강화군,강화도 모모카페,일반음식점,기타,인천광역시 강화군 화도면 해안남로 1143(1동 1~2층),정상
92,인천광역시 강화군,강화도 모모카페,일반음식점,기타,인천광역시 강화군 화도면 해안남로 1143(2동 1층),정상
93,인천광역시 강화군,강화도 진 한우곰탕,일반음식점,한식,인천광역시 강화군 하점면 강화서로 1037(1층),정상
94,인천광역시 강화군,강화도꽃마니에뜨락,일반음식점,한식,인천광역시 강화군 불은면 화남2길 20(1층),정상
95,인천광역시 강화군,강화도령,일반음식점,일식,인천광역시 강화군 내가면 해안서로 878,정상
96,인천광역시 강화군,강화도령김밥,일반음식점,한식,인천광역시 강화군 화도면 마니산로 716(2동 1층),정상
97,인천광역시 강화군,강화도령식당,일반음식점,일식,인천광역시 강화군 내가면 해안서로 874,정상
98,인천광역시 강화군,강화도령화문석,일반음식점,한식,인천광역시 강화군 송해면 강화대로 891,정상
99,인천광역시 강화군,강화도맛집 강맛도,일반음식점,경양식,인천광역시 강화군 강화읍 동문안길 9-1(1층),정상
100,인천광역시 강화군,강화도맛집 나들이,일반음식점,한식,인천광역시 강화군 양도면 중앙로 1124(1층),정상
101,인천광역시 강화군,강화도맛집양선민참숯불장어,일반음식점,식육(숯불구이),인천광역시 강화군 선원면 더리미길13번길 4,정상
102,인천광역시 강화군,강화도송탄부대찌개,일반음식점,분식,인천광역시 강화군 강화읍 동문안길21번길 11,정상
103,인천광역시 강화군,강화도짬뽕,일반음식점,중국식,인천광역시 강화군 선원면 해안동로 817,정상
104,인천광역시 강화군,강화도카페펜션아모테,일반음식점,기타,인천광역시 강화군 화도면 해안남로 1390(아모테카페펜션 1층),정상
105,인천광역시 강화군,강화루,일반음식점,중국식,인천광역시 강화군 길상면 마니산로 65,정상
106,인천광역시 강화군,강화만사성,일반음식점,한식,인천광역시 강화군 길상면 길상로 294(1층),정상
107,인천광역시 강화군,강화맛집,일반음식점,한식,인천광역시 강화군 길상면 마니산로 111(1층),정상
108,인천광역시 강화군,강화맛집 안동식당,일반음식점,한식,인천광역시 강화군 내가면 해안서로 1027,정상
109,인천광역시 강화군,강화면사무소,일반음식점,한식,인천광역시 강화군 선원면 중앙로 394,정상
110,인천광역시 강화군,강화백반,일반음식점,한식,인천광역시 강화군 강화읍 중앙로 43,정상
111,인천광역시 강화군,강화벤댕이꽃게전문점,일반음식점,한식,인천광역시 강화군 화도면 해안남로2903번길 58,정상
112,인천광역시 강화군,강화별법동태탕,일반음식점,한식,인천광역시 강화군 강화읍 동문안길 10,정상
113,인천광역시 강화군,강화병원장례식장식당,일반음식점,한식,인천광역시 강화군 강화읍 강화대로312번길 7,정상
114,인천광역시 강화군,강화생선구이맛집,일반음식점,한식,인천광역시 강화군 길상면 해안동로 124(1층),정상
115,인천광역시 강화군,강화샤브샤브,일반음식점,한식,인천광역시 강화군 길상면 초지로 145(가동 1층),정상
116,인천광역시 강화군,강화서산갯마을,일반음식점,일식,인천광역시 강화군 화도면 해안남로2845번길 10,정상
117,인천광역시 강화군,강화서해장례식장,일반음식점,한식,인천광역시 강화군 강화읍 중앙로74번길 10,정상
118,인천광역시 강화군,강화섬 맛집,일반음식점,일식,인천광역시 강화군 길상면 해안남로65번길 35-30,정상
119,인천광역시 강화군,강화섬감자탕,일반음식점,한식,인천광역시 강화군 선원면 중앙로 114(1층),정상
120,인천광역시 강화군,강화섬보리밥,일반음식점,한식,인천광역시 강화군 선원면 시리미로 146,정상
121,인천광역시 강화군,강화섬설렁탕,일반음식점,한식,인천광역시 강화군 길상면 전등사로 37-6,정상
122,인천광역시 강화군,강화섬쌀밥집,일반음식점,한식,인천광역시 강화군 길상면 해안남로 17(1층),정상
123,인천광역시 강화군,강화섬약쑥한우,일반음식점,한식,인천광역시 강화군 선원면 선원사지로 32,정상
124,인천광역시 강화군,강화성 국수집,일반음식점,분식,인천광역시 강화군 강화읍 중앙로 43,정상
125,인천광역시 강화군,강화성대하구이,일반음식점,한식,인천광역시 강화군 강화읍 강화대로 352(1층),정상
126,인천광역시 강화군,강화성장어구이,일반음식점,기타,인천광역시 강화군 선원면 선원사지로51번길 20(2층),정상
127,인천광역시 강화군,강화손두부,일반음식점,한식,인천광역시 강화군 선원면 중앙로 164,정상
128,인천광역시 강화군,강화손칼국수,일반음식점,한식,인천광역시 강화군 양도면 강화남로 678,정상
129,인천광역시 강화군,강화솥밥집,일반음식점,일식,인천광역시 강화군 강화읍 관청리 471,정상
130,인천광역시 강화군,강화순대국,일반음식점,한식,인천광역시 강화군 길상면 길상로 294(1층),정상
131,인천광역시 강화군,강화숯불장어구이,일반음식점,기타,인천광역시 강화군 불은면 삼동암길 224-20(1동),정상
132,인천광역시 강화군,강화쑥갈비,일반음식점,한식,인천광역시 강화군 강화읍 남문로 45,정상
133,인천광역시 강화군,강화씨사이드카페테리아,일반음식점,기타,인천광역시 강화군 길상면 장흥로 217(스키하우스 지하1층),정상
134,인천광역시 강화군,강화어부네꽃게탕,일반음식점,일식,인천광역시 강화군 내가면 해안서로 920,정상
135,인천광역시 강화군,강화어죽,일반음식점,한식,인천광역시 강화군 양도면 강화남로 931(1층),정상
136,인천광역시 강화군,강화연탄구이,일반음식점,한식,인천광역시 강화군 길상면 강화동로 18,정상
137,인천광역시 강화군,강화염화강정육식당,일반음식점,식육(숯불구이),인천광역시 강화군 강화읍 강화대로 96(1층),정상
138,인천광역시 강화군,강화오삼,일반음식점,한식,인천광역시 강화군 화도면 마니산로 746,정상
139,인천광역시 강화군,강화옥수수찐빵,일반음식점,분식,인천광역시 강화군 양도면 중앙로 898-1(1층),정상
140,인천광역시 강화군,강화요트캠핑클럽,일반음식점,한식,인천광역시 강화군 길상면 해안남로 43,정상
141,인천광역시 강화군,강화원조칼국수,일반음식점,한식,인천광역시 강화군 화도면 해안남로 1367(1층),정상
142,인천광역시 강화군,강화육개장,일반음식점,한식,인천광역시 강화군 강화읍 중앙로 45(정우빌딩 1층 2호),정상
143,인천광역시 강화군,강화인삼스파랜드식당,일반음식점,한식,인천광역시 강화군 선원면 고식이길20번길 29-1,정상
144,인천광역시 강화군,강화장례식장,일반음식점,한식,인천광역시 강화군 강화읍 중앙로74번길 16,정상
145,인천광역시 강화군,강화장어,일반음식점,한식,인천광역시 강화군 길상면 해안동로 24-1,정상
146,인천광역시 강화군,강화정,일반음식점,한식,인천광역시 강화군 화도면 마니산로739번길 2(1층),정상
147,인천광역시 강화군,강화주당,일반음식점,호프/통닭,인천광역시 강화군 강화읍 동문안길 6(2층),정상
148,인천광역시 강화군,강화집,일반음식점,한식,인천광역시 강화군 강화읍 강화대로 405-2,정상
149,인천광역시 강화군,강화치킨,일반음식점,호프/통닭,인천광역시 강화군 내가면 중앙로 1298,정상
150,인천광역시 강화군,강화컨벤션웨딩홀,일반음식점,뷔페식,인천광역시 강화군 강화읍 중앙로 43,정상
151,인천광역시 강화군,강화킹닭발,일반음식점,한식,인천광역시 강화군 강화읍 관청길 1(101호),정상
152,인천광역시 강화군,강화한식부페,일반음식점,뷔페식,"인천광역시 강화군 강화읍 강화산단로 180(1층 109,110호)",정상
153,인천광역시 강화군,강화한식부페,일반음식점,한식,인천광역시 강화군 강화읍 강화대로 228,정상
154,인천광역시 강화군,강화해신탕,일반음식점,한식,인천광역시 강화군 선원면 중앙로 385,정상
155,인천광역시 강화군,강화횟집2,일반음식점,일식,인천광역시 강화군 내가면 해안서로 917(1~2층),정상
156,인천광역시 강화군,갤러리게르카페,일반음식점,기타,인천광역시 강화군 강화읍 강화대로 400(2층),정상
157,인천광역시 강화군,갯바다해물샤브칼국수,일반음식점,중국식,인천광역시 강화군 삼산면 삼산남로 824,정상
158,인천광역시 강화군,갯배생선구이 강화도지점,일반음식점,한식,인천광역시 강화군 길상면 해안동로 14-6,정상
159,인천광역시 강화군,갯벌식당,일반음식점,한식,인천광역시 강화군 화도면 해안남로 2464(갯벌식당),정상
160,인천광역시 강화군,거꾸로된집,일반음식점,한식,인천광역시 강화군 길상면 해안남로 471(1층),정상
161,인천광역시 강화군,건평휴게소,일반음식점,기타,인천광역시 강화군 양도면 해안서로 508,정상
162,인천광역시 강화군,경기식당,일반음식점,중국식,인천광역시 강화군 교동면 대룡안길22번길 7,정상
163,인천광역시 강화군,경남식당,일반음식점,한식,인천광역시 강화군 길상면 온수리 655-1,정상
164,인천광역시 강화군,경마기사식당,일반음식점,한식,인천광역시 강화군 강화읍 중앙로 43(2층202호),정상
165,인천광역시 강화군,경복궁개성손만두요리전문점,일반음식점,한식,인천광역시 강화군 선원면 강화동로 1004,정상
166,인천광역시 강화군,경아네추어탕,일반음식점,한식,인천광역시 강화군 화도면 해안남로 2872,정상
167,인천광역시 강화군,경인식당,일반음식점,한식,인천광역시 강화군 길상면 길상로 197(1층),정상
168,인천광역시 강화군,경인호,일반음식점,한식,인천광역시 강화군 양도면 해안서로 555(1동 1층),정상
169,인천광역시 강화군,계림가든,일반음식점,식육(숯불구이),인천광역시 강화군 강화읍 강화대로 381,정상
170,인천광역시 강화군,고개마루,일반음식점,한식,인천광역시 강화군 교동면 교동동로 502(1층),정상
171,인천광역시 강화군,고갯마루식당,일반음식점,한식,인천광역시 강화군 길상면 전등사로77번길 7-35,정상
172,인천광역시 강화군,고고미술갤러리,일반음식점,기타,인천광역시 강화군 강화읍 동문안길45번길 2(나동 1층),정상
173,인천광역시 강화군,고구촌,일반음식점,한식,인천광역시 강화군 교동면 교동동로 412,정상
174,인천광역시 강화군,고기굼터,일반음식점,한식,인천광역시 강화군 강화읍 남문로 9,정상
175,인천광역시 강화군,고기찬,일반음식점,한식,인천광역시 강화군 강화읍 중앙로 13,정상
176,인천광역시 강화군,고래식당,일반음식점,한식,인천광역시 강화군 내가면 해안서로 894-1,정상
177,인천광역시 강화군,고려가든,일반음식점,한식,인천광역시 강화군 하점면 강화대로1093번길 5(1층),정상
178,인천광역시 강화군,고려궁,일반음식점,한식,인천광역시 강화군 강화읍 강화대로 183,정상
179,인천광역시 강화군,고려산 농원,일반음식점,한식,인천광역시 강화군 하점면 고려산로61번길 21,정상
180,인천광역시 강화군,고려산 호랑이,일반음식점,호프/통닭,인천광역시 강화군 송해면 강화대로 659-1(1층),정상
181,인천광역시 강화군,고려산민물장어구이,일반음식점,한식,인천광역시 강화군 강화읍 고비고개로 270(1층),정상
182,인천광역시 강화군,고려산짬뽕,일반음식점,중국식,인천광역시 강화군 하점면 강화서로497번길 4(1층),정상
183,인천광역시 강화군,고려족발,일반음식점,식육(숯불구이),인천광역시 강화군 강화읍 북문길 8,정상
184,인천광역시 강화군,고모네,일반음식점,한식,인천광역시 강화군 강화읍 관청리 531-4 1층,정상
185,인천광역시 강화군,고비칼국수,일반음식점,한식,인천광역시 강화군 내가면 고비고개로 581-1,정상
186,인천광역시 강화군,고을순대국,일반음식점,한식,인천광역시 강화군 길상면 온수길36번길 3(1층),정상
187,인천광역시 강화군,고을식당,일반음식점,한식,인천광역시 강화군 강화읍 강화대로 400,정상
188,인천광역시 강화군,고향 바지락 칼국수,일반음식점,한식,인천광역시 강화군 내가면 해안서로 908,정상
189,인천광역시 강화군,고향마루,일반음식점,한식,인천광역시 강화군 길상면 강화동로 139,정상
190,인천광역시 강화군,고향밥상,일반음식점,한식,인천광역시 강화군 강화읍 강화대로248번길 13,정상
191,인천광역시 강화군,고향산천,일반음식점,한식,인천광역시 강화군 내가면 강화서로 217,정상
192,인천광역시 강화군,고향산촌,일반음식점,한식,인천광역시 강화군 하점면 고려산로 52(1층),정상
193,인천광역시 강화군,고향식당,일반음식점,한식,인천광역시 강화군 교동면 대룡안길29번길 6,정상
194,인천광역시 강화군,고향옥 얼큰순대국 강화점,일반음식점,한식,인천광역시 강화군 강화읍 강화대로 347,정상
195,인천광역시 강화군,고향촌,일반음식점,한식,인천광역시 강화군 길상면 길상로 232,정상
196,인천광역시 강화군,곧은,일반음식점,기타,인천광역시 강화군 길상면 전등사로 80,정상
197,인천광역시 강화군,골목순대국,일반음식점,한식,인천광역시 강화군 강화읍 강화대로 392-6,정상
198,인천광역시 강화군,골목집,일반음식점,한식,"인천광역시 강화군 길상면 해안남로 9(107, 108호)",정상
199,인천광역시 강화군,골목집,일반음식점,한식,인천광역시 강화군 불은면 강화동로 533(1층),정상
200,인천광역시 강화군,골목집,일반음식점,한식,인천광역시 강화군 강화읍 강화대로 397(1층),정상
201,인천광역시 강화군,골목집해장국집,일반음식점,한식,인천광역시 강화군 강화읍 강화대로312번길 3,정상
202,인천광역시 강화군,곱창집,일반음식점,한식,인천광역시 강화군 강화읍 강화대로409번길 6,정상
203,인천광역시 강화군,곳간,일반음식점,한식,인천광역시 강화군 양도면 강화남로685번길 21(1층),정상
204,인천광역시 강화군,공간,일반음식점,한식,인천광역시 강화군 화도면 마니산로844번길 13(2동),정상
205,인천광역시 강화군,공주네자연산추어탕,일반음식점,한식,인천광역시 강화군 길상면 마니산로 30,정상
206,인천광역시 강화군,관광식당,일반음식점,한식,인천광역시 강화군 내가면 외포리 546,정상
207,인천광역시 강화군,관청리31,일반음식점,기타,인천광역시 강화군 강화읍 동문안길 10-4(1층),정상
208,인천광역시 강화군,광명식당,일반음식점,한식,인천광역시 강화군 불은면 강화동로 547,정상
209,인천광역시 강화군,광복호,일반음식점,회집,인천광역시 강화군 화도면 해안남로2903번길 56(다동 1호 외 1필지),정상
210,인천광역시 강화군,광산집,일반음식점,분식,인천광역시 강화군 강화읍 중앙로 17-9(강화풍물시장 2025호),정상
211,인천광역시 강화군,광성보한식전문식당,일반음식점,한식,인천광역시 강화군 불은면 해안동로466번길 8-13,정상
212,인천광역시 강화군,광성식당,일반음식점,한식,인천광역시 강화군 불은면 해안동로466번길 8-31(1층),정상
213,인천광역시 강화군,광성오리,일반음식점,한식,인천광역시 강화군 불은면 해안동로 443,정상
214,인천광역시 강화군,광성호,일반음식점,회집,인천광역시 강화군 길상면 해안남로 779-29(4호),정상
215,인천광역시 강화군,교동 갯벌 숯불구이 왕새우,일반음식점,한식,인천광역시 강화군 교동면 교동남로 456,정상
216,인천광역시 강화군,교동 해물찜,일반음식점,한식,인천광역시 강화군 교동면 교동남로 29,정상
217,인천광역시 강화군,교동극장,일반음식점,,인천광역시 강화군 교동면 대룡안길 36-1,정상
218,인천광역시 강화군,교동까페시모,일반음식점,기타,인천광역시 강화군 교동면 교동남로 18,정상
219,인천광역시 강화군,교동반점,일반음식점,중국식,인천광역시 강화군 교동면 교동남로 2(1층),정상
220,인천광역시 강화군,교동상회,일반음식점,한식,인천광역시 강화군 교동면 대룡안길 31-1(B동 102호),정상
221,인천광역시 강화군,교동수제인삼쌀찐빵,일반음식점,기타,인천광역시 강화군 교동면 교동남로 16,정상
222,인천광역시 강화군,교동시골밥상,일반음식점,한식,인천광역시 강화군 교동면 대룡안길 37(1동 1층),정상
223,인천광역시 강화군,교동식당,일반음식점,한식,인천광역시 강화군 교동면 대룡안길 36,정상
224,인천광역시 강화군,교동집,일반음식점,분식,인천광역시 강화군 강화읍 중앙로 17-9(강화풍물시장 2023호),정상
225,인천광역시 강화군,교동쭈짬,일반음식점,중국식,인천광역시 강화군 강화읍 향나무길5번길 1,정상
226,인천광역시 강화군,교동청춘부라보,일반음식점,한식,인천광역시 강화군 교동면 대룡안길54번길 26-1,정상
227,인천광역시 강화군,교촌치킨,일반음식점,호프/통닭,인천광역시 강화군 강화읍 강화대로 342(1층),정상
228,인천광역시 강화군,구락다복,일반음식점,일식,인천광역시 강화군 삼산면 삼산남로 865,정상
229,인천광역시 강화군,구리포장어,일반음식점,한식,인천광역시 강화군 불은면 해안동로 249,정상
230,인천광역시 강화군,구미순대국,일반음식점,한식,인천광역시 강화군 강화읍 강화대로409번길 9,정상
231,인천광역시 강화군,국밥과 꼼장어,일반음식점,한식,인천광역시 강화군 길상면 강화동로 23,정상
232,인천광역시 강화군,국밥집,일반음식점,한식,인천광역시 강화군 강화읍 대월로 151(2동 1층),정상
233,인천광역시 강화군,국화뜰 솥밥정식,일반음식점,한식,인천광역시 강화군 강화읍 국화길12번길 3(1층),정상
234,인천광역시 강화군,국화집,일반음식점,한식,인천광역시 강화군 강화읍 강화대로430번길 2,정상
235,인천광역시 강화군,국화호수,일반음식점,한식,인천광역시 강화군 강화읍 강화대로440번길 5(1층),정상
236,인천광역시 강화군,군산호,일반음식점,회집,인천광역시 강화군 화도면 해안남로2903번길 56(가동 1호 외 1필지),정상
237,인천광역시 강화군,굴사냥조개사냥,일반음식점,한식,인천광역시 강화군 강화읍 동문안길 7,정상
238,인천광역시 강화군,굽네치킨,일반음식점,호프/통닭,인천광역시 강화군 강화읍 강화대로 199(1층),정상
239,인천광역시 강화군,궁,일반음식점,한식,인천광역시 강화군 내가면 중앙로1128번길 21,정상
240,인천광역시 강화군,궁궐식당,일반음식점,한식,인천광역시 강화군 강화읍 중앙로 17-9(강화풍물시장 2층 2014호),정상
241,인천광역시 강화군,궁전커피&맥주,일반음식점,정종/대포집/소주방,인천광역시 강화군 강화읍 강화대로 407,정상
242,인천광역시 강화군,궁차이나,일반음식점,중국식,인천광역시 강화군 강화읍 강화대로 392-2,정상
243,인천광역시 강화군,그곳가,일반음식점,한식,인천광역시 강화군 내가면 고비고개로 906(1층),정상
244,인천광역시 강화군,그곳에가면통나무닭갈비,일반음식점,한식,인천광역시 강화군 길상면 길상로 294(2층),정상
